title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
What Is a Mind?,https://view.vzaar.com/2817852/image,,https://www.futurelearn.com/courses/what-is-a-mind?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-lyhJyDksglpRAMqpsbUqyA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Maintaining a Mindful Life,https://view.vzaar.com/11042719/image,"Interest in mindfulness has grown enormously over the last few years. It’s no surprise: mindfulness techniques can improve your communication skills, relationships and emotional health. But not everyone knows how to apply mindfulness in daily life.",https://www.futurelearn.com/courses/mindfulness-life?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-3XgvU5bLSfwuCX88KU6wRQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Mindfulness for Wellbeing and Peak Performance,https://view.vzaar.com/12672478/image,"Stressed by the pace of modern life? Mindfulness might be the answer. Research shows that when you’re not deliberately paying attention to something, your brain goes into default mode causing increased anxiety and poor communication. Mindfulness can help end this unproductive behaviour. In this online course, you’ll learn how to incorporate mindfulness practices into your life, to reduce stress and improve your personal and professional life.",https://www.futurelearn.com/courses/mindfulness-wellbeing-performance?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-OFiM_u_H7.ZepjGZOPe3SA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Extinctions: Past and Present,https://view.vzaar.com/8964460/image,"This free online course explores how life on earth has been shaped by five mass extinction events in the distant past. At present, biodiversity is facing a crisis, with the prospect of a sixth extinction event today.",https://www.futurelearn.com/courses/extinctions-past-present?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-6v6f9GGteiuN0ck4besDbA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Introduction to Dutch,https://view.vzaar.com/2912826/image,"Are you planning to visit, or work or study in the Netherlands soon? This free online course is perfect if you have little or no prior knowledge of Dutch, but would like to master the fundamentals in order to survive life in the Low Countries.",https://www.futurelearn.com/courses/dutch?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ck8WzFu0Q8uXQBvjcFPaqw,nan,[],[],[],Beginner/Intermediate,FutureLearn
How to Succeed at: Writing Applications,https://view.vzaar.com/10135404/image,"Experts from The Careers Service here at The University of Sheffield share their top tips to help you write exceptional applications, CVs (or résumés), covering letters and personal statements.",https://www.futurelearn.com/courses/writing-applications?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-_Dv6tw6fGpHM7uUft2ajyg,nan,[],[],[],Beginner/Intermediate,FutureLearn
Decision Making in a Complex and Uncertain World,https://view.vzaar.com/7064059/image,"Our world seems to ever become more complex and uncertain. Future leaders must be able to act under these conditions. This course provides you with the broad scientific background necessary to develop yourself into one of the future’s key decision makers. First, this course will address the core concepts of complexity and uncertainty. Next, guest lecturers will related sub-fields. Finally, relating this all back together in case studies about financial stability and city development will conclude the course.",https://www.futurelearn.com/courses/complexity-and-uncertainty?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-k95RhHiUHofKJzupLQFkTg,nan,[],[],[],Beginner/Intermediate,FutureLearn
Food as Medicine,https://view.vzaar.com/11195829/image,"This course introduces the concept of food as medicine. You will explore how food can be important both in preventative health and as an aid in the management of certain chronic diseases today, in the past and in the future. You will also learn about what’s in food that gives it the potential to improve our health and how to recognise which types of foods are essential for health and wellbeing, and how food can play an important role in treating/preventing disease.",https://www.futurelearn.com/courses/food-as-medicine?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-xpwcCbxQixLx5RQS2skJEQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Medicine and the Arts: Humanising Healthcare,https://view.vzaar.com/2400635/image,"This free online course will explore the intersection of medicine, medical anthropology and the creative arts. Through each of its six weeks, we’ll visit a new aspect of human life and consider it from the perspectives of people working in health sciences, social sciences and the arts.",https://www.futurelearn.com/courses/medicine-and-the-arts?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-tHbakr5naLtO3nKC7QjtsA,nan,[],[],[],Beginner/Intermediate,FutureLearn
How to Succeed at: Interviews,https://view.vzaar.com/10156861/image,,https://www.futurelearn.com/courses/interviews?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-Ug0KDIUH7CXaucjt0uTICA,nan,[],[],[],Beginner/Intermediate,FutureLearn
